name,人均可支配收入增长率,人均消费支出排名,生育率
黑龙江,1.5271161569933747,0.4,2.92
吉林,1.523462560247163,0.3,3.76
上海,1.6061268296456492,1.0,3.95
辽宁,1.4909739442057208,0.6333333333333333,4.06
天津,1.5576168736435703,0.8666666666666667,4.47
江苏,1.6830070379187563,0.9,4.81
内蒙古,1.6158674256683654,0.7,5.0
湖北,1.6483669240810634,0.7333333333333333,5.48
河北,1.7053558810321108,0.43333333333333335,5.54
重庆,1.758672327219176,0.7666666666666667,5.58
北京,1.602534637896758,0.9666666666666667,5.63
浙江,1.6940661546022893,0.9333333333333333,5.8
湖南,1.747161341074988,0.6666666666666666,6.0
山东,1.6549967590419719,0.6,6.01
山西,1.6413456140469567,0.06666666666666667,6.13
四川,1.773688114421837,0.5333333333333333,6.32
安徽,1.781901929249396,0.5666666666666667,6.45
江西,1.7509788645441358,0.4666666666666667,6.52
福建,1.6865758162671007,0.8,6.81
陕西,1.7394700622719774,0.36666666666666664,6.83
河南,1.658847692738497,0.23333333333333334,7.06
新疆,1.626567127363383,0.16666666666666666,7.1
甘肃,1.743528857210158,0.03333333333333333,7.71
广西,1.6553653288394816,0.13333333333333333,8.04
广东,1.6747864423929801,0.8333333333333334,8.12
云南,1.7573164625134277,0.26666666666666666,8.22
青海,1.7091976030000708,0.2,9.25
海南,1.6520229392818415,0.5,9.28
宁夏,1.7095666178281528,0.3333333333333333,10.02
贵州,1.8485857379054873,0.1,10.65
西藏,2.171227374971769,0.0,13.72
