year,上海,云南,内蒙,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙
2005,7.04,14.72,10.08,6.29,7.89,9.7,7.44,15.93,12.43,12.14,12.02,11.7,14.26,16.42,9.24,13.79,12.84,11.55,11.1,14.65,8.74,11.9,12.59,11.6,17.94,14.59,7.01,9.4,10.02,15.7,7.87
2006,7.47,13.2,9.87,6.26,7.67,9.14,7.67,15.53,12.6,11.6,11.48,11.78,14.44,15.79,9.36,13.8,12.82,11.59,10.29,14.59,9.08,11.92,12.86,12.0,17.4,13.97,6.4,9.9,10.19,15.24,7.57
2007,9.07,13.08,10.21,8.32,7.55,9.21,7.91,14.8,12.75,11.11,11.3,11.96,14.19,16.79,9.37,13.86,13.33,11.26,10.38,14.62,9.19,11.96,13.14,11.9,16.4,13.28,6.89,10.1,10.21,14.93,7.88
2008,8.89,12.63,9.81,8.17,6.65,9.54,8.13,14.31,13.05,11.25,11.32,11.8,14.4,16.05,9.34,13.92,13.04,11.42,10.2,14.71,9.21,12.68,13.22,12.2,15.5,13.49,6.32,10.1,10.29,14.49,7.91
2009,8.64,12.53,9.57,8.06,6.69,9.15,8.3,14.38,13.07,11.7,10.87,11.78,14.17,15.99,9.55,13.87,12.93,11.45,10.22,14.66,9.48,13.05,13.32,12.2,15.31,13.65,6.06,9.9,10.24,14.51,7.48
2010,7.05,13.1,9.3,7.48,7.91,8.93,8.18,14.14,12.7,11.65,10.68,11.18,14.13,15.99,9.73,13.72,13.22,11.52,10.27,14.71,10.36,13.1,12.05,11.27,15.8,13.96,6.68,9.17,9.73,14.94,7.35
2011,6.97,12.71,8.94,8.29,6.53,9.79,8.58,13.65,12.23,11.5,10.47,10.45,13.71,14.99,9.59,13.48,13.02,11.56,9.47,14.72,10.39,13.35,12.08,11.41,15.39,13.31,5.71,9.88,9.75,14.43,6.99
2012,9.56,12.63,9.17,9.05,5.73,9.89,8.75,13.26,13.0,11.9,10.7,11.6,14.2,15.32,9.44,13.46,12.88,11.87,10.12,14.66,11.0,13.58,12.11,12.74,15.48,13.27,6.15,10.86,10.12,14.3,7.3
2013,8.18,12.6,8.98,8.93,5.36,9.9,8.28,13.12,12.88,11.41,10.81,10.71,14.28,15.84,9.44,13.19,13.04,12.27,10.01,14.59,11.08,13.5,12.16,12.2,15.77,13.05,6.09,10.37,10.01,14.16,6.86
2014,8.35,12.65,9.31,9.75,6.62,10.22,8.19,13.1,12.86,14.23,10.92,10.8,14.07,16.44,9.45,13.24,13.18,12.8,10.51,14.56,11.86,13.52,12.21,13.7,15.76,12.98,6.49,10.67,10.13,14.67,7.37
2015,7.52,12.88,7.72,7.96,5.87,10.3,5.84,12.62,12.92,12.55,9.98,11.12,14.05,15.59,9.05,13.2,11.35,12.7,10.52,14.57,10.74,13.58,12.36,13.9,15.75,13.0,6.17,11.05,10.1,14.72,6.0
2016,9.0,13.16,9.03,9.32,5.55,10.48,7.37,13.69,13.02,17.89,10.29,11.85,13.82,15.34,9.76,13.45,12.42,13.26,11.22,14.57,12.04,13.57,12.18,14.5,15.79,13.43,6.6,11.77,10.64,14.7,6.12
2017,8.1,13.53,9.47,9.06,6.76,11.26,7.65,13.44,14.07,17.54,11.06,13.68,15.14,15.88,9.71,13.79,13.2,12.95,11.92,14.73,12.6,13.27,12.54,15.0,16.0,13.98,6.49,11.18,11.11,14.42,6.22
2018,7.2,13.19,8.35,8.24,6.62,11.05,6.67,13.32,12.41,13.26,9.63,12.79,14.12,10.69,9.32,13.43,11.26,11.72,11.02,14.48,11.54,12.19,11.07,13.2,15.22,13.9,6.39,11.02,10.67,14.31,5.98
2019,7.0,12.63,8.23,8.12,6.05,10.7,6.73,13.72,12.03,11.77,9.12,12.54,13.31,8.14,9.12,12.59,10.83,11.02,10.51,12.87,11.35,10.39,10.6,12.9,14.6,13.65,6.45,10.48,10.55,13.66,5.73
2020,5.02,10.96,7.2,6.99,4.84,7.6,5.99,11.59,9.45,8.56,8.26,10.28,11.36,6.94,6.65,9.48,8.16,9.24,7.13,10.36,8.28,8.53,10.55,9.21,13.96,13.7,5.16,7.47,8.95,11.43,3.75
2021,4.67,9.35,6.26,6.35,4.7,6.85,5.3,11.62,8.05,7.38,7.06,9.35,9.68,6.16,5.65,8.34,7.15,8.0,6.9,9.74,6.98,7.13,9.68,8.26,14.17,12.17,4.71,6.49,7.89,11.22,3.59
2022,4.35,8.14,5.58,5.67,4.32,6.39,4.75,10.6,7.16,6.71,6.75,8.3,8.51,6.53,5.23,7.19,6.09,7.42,6.28,8.6,6.08,6.23,8.47,7.07,14.24,11.03,4.08,5.98,7.36,10.6,3.34
2023,3.95,8.22,5.0,5.63,3.76,6.32,4.47,10.02,6.45,6.01,6.13,8.12,8.04,7.1,4.81,6.52,5.54,7.06,5.8,9.28,5.48,6.0,7.71,6.81,13.72,10.65,4.06,5.58,6.83,9.25,2.92
