year,上海,云南,内蒙,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙
2005,17738.0,4197.0,5985.0,16853.0,6010.0,4703.0,10255.0,4918.0,4777.0,6860.0,5518.0,10150.0,4870.0,4707.0,8712.0,5223.0,5581.0,4668.0,12093.0,5322.0,5628.0,5664.0,3962.0,8042.0,3630.0,3625.0,6979.0,5942.0,4395.0,4587.0,6048.0
2006,19647.0,4664.0,6876.0,19296.0,6757.0,5247.0,11526.0,5576.0,5573.0,7795.0,6235.0,11147.0,5353.0,5290.0,9947.0,5894.0,6295.0,5409.0,13550.0,6084.0,6304.0,6364.0,4428.0,8948.0,3828.0,4016.0,7937.0,6632.0,5029.0,5113.0,6748.0
2007,22459.0,5469.0,8340.0,21458.0,7791.0,6322.0,13116.0,6630.0,6724.0,9085.0,7282.0,12238.0,6614.0,6273.0,11574.0,7097.0,7233.0,6493.0,15351.0,7186.0,7430.0,7587.0,5037.0,10138.0,4609.0,4817.0,9421.0,7520.0,5974.0,5916.0,7656.0
2008,25385.0,6492.0,9923.0,24371.0,8921.0,7413.0,15444.0,7924.0,7893.0,10411.0,8333.0,13605.0,7839.0,7012.0,13237.0,8208.0,8365.0,7637.0,17073.0,8325.0,8643.0,8804.0,5782.0,11785.0,5249.0,5533.0,11125.0,8756.0,7263.0,6808.0,8877.0
2009,27500.0,7170.0,11015.0,26571.0,9671.0,8214.0,16967.0,8742.0,8683.0,11398.0,8911.0,14728.0,8655.0,7656.0,14653.0,9094.0,9267.0,8426.0,18528.0,9151.0,9496.0,9745.0,6454.0,12985.0,5807.0,6099.0,12183.0,9688.0,8122.0,7553.0,9643.0
2010,30436.0,8184.0,12538.0,29228.0,10798.0,9373.0,19266.0,9864.0,9955.0,12922.0,10149.0,16579.0,9739.0,9042.0,17006.0,10217.0,10428.0,9520.0,21159.0,10342.0,11069.0,10861.0,7358.0,14566.0,6628.0,7226.0,13953.0,10984.0,9412.0,8659.0,10846.0
2011,34731.0,9739.0,14715.0,33176.0,12621.0,11130.0,21714.0,11480.0,11873.0,15077.0,11959.0,18916.0,11054.0,10443.0,19820.0,11870.0,12059.0,11206.0,24195.0,12392.0,12941.0,12612.0,8463.0,16909.0,7510.0,8594.0,16429.0,13037.0,11229.0,10024.0,12605.0
2012,38550.0,11233.0,16800.0,36817.0,14395.0,12753.0,24030.0,13104.0,13593.0,17127.0,13592.0,21268.0,12644.0,12151.0,22432.0,13567.0,13647.0,12772.0,27020.0,14180.0,14809.0,14391.0,9768.0,19141.0,8568.0,9850.0,18761.0,14924.0,12885.0,11470.0,14302.0
2013,42174.0,12578.0,18693.0,40830.0,15998.0,14231.0,26359.0,14566.0,15154.0,19008.0,15120.0,23421.0,14082.0,13670.0,24776.0,15100.0,15190.0,14204.0,29775.0,15733.0,16472.0,16005.0,10954.0,21218.0,9740.0,11083.0,20818.0,16569.0,14372.0,12948.0,15903.0
2014,45966.0,13772.0,20559.0,44489.0,17520.0,15749.0,28832.0,15907.0,16796.0,20864.0,16538.0,25685.0,15557.0,15097.0,27173.0,16734.0,16647.0,15695.0,32658.0,17476.0,18283.0,17622.0,12185.0,23331.0,10730.0,12371.0,22820.0,18352.0,15837.0,14374.0,17404.0
2015,49867.0,15223.0,22310.0,48458.0,18684.0,17221.0,31291.0,17329.0,18363.0,22703.0,17854.0,27859.0,16873.0,16859.0,29539.0,18437.0,18118.0,17125.0,35537.0,18979.0,20026.0,19317.0,13467.0,25404.0,12254.0,13697.0,24576.0,20110.0,17395.0,15813.0,18593.0
2016,54305.0,16720.0,24127.0,52530.0,19967.0,18808.0,34074.0,18832.0,19998.0,24685.0,19049.0,30296.0,18305.0,18355.0,32070.0,20110.0,19725.0,18443.0,38529.0,20653.0,21787.0,21115.0,14670.0,27608.0,13639.0,15121.0,26040.0,22034.0,18874.0,17302.0,19838.0
2017,58988.0,18348.0,26212.0,57230.0,21368.0,20580.0,37022.0,20562.0,21863.0,26930.0,20420.0,33003.0,19905.0,19975.0,35024.0,22031.0,21484.0,20170.0,42046.0,22553.0,23757.0,23103.0,16011.0,30048.0,15457.0,16704.0,27835.0,24153.0,20635.0,19001.0,21206.0
2018,64183.0,20084.0,28376.0,62361.0,22798.0,22461.0,39506.0,22400.0,23984.0,29205.0,21990.0,35810.0,21485.0,21500.0,38096.0,24080.0,23446.0,21964.0,45840.0,24579.0,25815.0,25241.0,17488.0,32644.0,17286.0,18430.0,29701.0,26386.0,22528.0,20757.0,22726.0
2019,69442.0,22082.0,30555.0,67756.0,24563.0,24703.0,42404.0,24412.0,26415.0,31597.0,23828.0,39014.0,23328.0,23103.0,41400.0,26262.0,25665.0,23903.0,49899.0,26679.0,28319.0,27680.0,19139.0,35616.0,19501.0,20397.0,31820.0,28920.0,24666.0,22618.0,24254.0
2020,72232.0,23295.0,31497.0,69434.0,25751.0,26522.0,43854.0,25735.0,28103.0,32886.0,25214.0,41029.0,24562.0,23845.0,43390.0,28017.0,27136.0,24810.0,52397.0,27904.0,27881.0,29380.0,20335.0,37202.0,21744.0,21795.0,32738.0,30824.0,26226.0,24037.0,24902.0
2021,78027.0,25666.0,34108.0,75002.0,27770.0,29080.0,47449.0,27904.0,30904.0,35705.0,27426.0,44993.0,26727.0,26075.0,47498.0,30610.0,29383.0,26811.0,57541.0,30457.0,30829.0,31993.0,22066.0,40659.0,24950.0,23996.0,35112.0,33803.0,28568.0,25919.0,27159.0
2022,79610.0,26937.0,35921.0,77415.0,27975.0,30679.0,48976.0,29599.0,32745.0,37560.0,29178.0,47065.0,27981.0,27063.0,49862.0,32419.0,30867.0,28222.0,60302.0,30957.0,32914.0,34036.0,23273.0,43118.0,26675.0,25508.0,36089.0,35666.0,30116.0,27000.0,28346.0
2023,84834.0,28421.0,38130.0,81752.0,29797.0,32514.0,51271.0,31604.0,34893.0,39890.0,30924.0,49327.0,29514.0,28947.0,52674.0,34242.0,32903.0,29933.0,63830.0,33192.0,35146.0,35895.0,25011.0,45426.0,28983.0,27098.0,37992.0,37595.0,32128.0,28587.0,29694.0
