year,上海,云南,内蒙,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙
2005,14135.0,3379.0,4746.0,13289.0,4677.0,3926.0,8227.0,3996.0,3742.0,4740.0,3902.0,8221.0,3983.0,3777.0,6451.0,4011.0,4181.0,3294.0,9740.0,3888.0,4442.0,4805.0,3392.0,6290.0,3398.0,2872.0,5657.0,5117.0,3735.0,4105.0,4727.0
2006,15284.0,3855.0,5385.0,15123.0,5183.0,4302.0,9072.0,4479.0,4290.0,5443.0,4560.0,8771.0,4001.0,4134.0,7416.0,4433.0,4769.0,3849.0,10780.0,4657.0,4970.0,5370.0,3630.0,7068.0,3141.0,3158.0,6182.0,5603.0,4366.0,4434.0,5085.0
2007,18001.0,4415.0,6578.0,15933.0,6010.0,5048.0,10352.0,4981.0,5045.0,6249.0,5319.0,9952.0,4778.0,4937.0,8487.0,5185.0,5477.0,4676.0,11695.0,5479.0,5817.0,6098.0,4130.0,8084.0,3693.0,3691.0,7241.0,6138.0,5050.0,5184.0,5883.0
2008,20345.0,5129.0,7706.0,17447.0,6817.0,5804.0,11641.0,6172.0,5887.0,7128.0,5984.0,10860.0,5574.0,5591.0,9621.0,5874.0,6241.0,5420.0,12794.0,6283.0,6607.0,6951.0,4670.0,9358.0,3927.0,4123.0,8652.0,7074.0,5972.0,5952.0,7008.0
2009,22230.0,5524.0,8873.0,19381.0,7677.0,7078.0,12974.0,6746.0,6510.0,7794.0,6449.0,11615.0,6080.0,6122.0,10717.0,6585.0,6846.0,6065.0,13943.0,6837.0,7091.0,7615.0,5258.0,10287.0,4347.0,4594.0,9587.0,7843.0,6708.0,6619.0,7863.0
2010,24758.0,6204.0,10209.0,21834.0,8176.0,7490.0,14711.0,7745.0,7297.0,8560.0,7011.0,12907.0,6697.0,7126.0,12266.0,7291.0,7583.0,6831.0,15634.0,7517.0,8090.0,8308.0,5846.0,11474.0,4809.0,5507.0,10462.0,8810.0,7625.0,7713.0,8619.0
2011,26858.0,7135.0,11920.0,24298.0,9442.0,8751.0,16796.0,9010.0,8683.0,9853.0,8404.0,14459.0,7816.0,8575.0,14635.0,8361.0,8852.0,7968.0,17874.0,8859.0,9589.0,9713.0,6920.0,13218.0,5063.0,6452.0,11954.0,10263.0,9026.0,9032.0,9967.0
2012,28152.0,8192.0,13475.0,26562.0,10737.0,9837.0,18542.0,10009.0,9878.0,10902.0,9446.0,16002.0,8910.0,10171.0,16500.0,9182.0,9773.0,9103.0,18931.0,10161.0,10756.0,10806.0,7937.0,14843.0,5468.0,7247.0,13489.0,11468.0,10175.0,10386.0,10750.0
2013,30400.0,8824.0,14878.0,29176.0,12054.0,11055.0,20419.0,11292.0,10544.0,11897.0,10118.0,17421.0,9596.0,11392.0,17926.0,10053.0,10872.0,10002.0,20610.0,11193.0,11761.0,11946.0,8943.0,16177.0,6307.0,8288.0,14950.0,12600.0,11217.0,11576.0,12037.0
2014,33065.0,9870.0,16258.0,31103.0,13026.0,12368.0,22343.0,12485.0,11727.0,13329.0,10864.0,19205.0,10274.0,11904.0,19164.0,11089.0,11932.0,11000.0,22552.0,12471.0,12928.0,13289.0,9875.0,17644.0,7317.0,9303.0,16068.0,13811.0,12204.0,12605.0,12769.0
