xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
rBfk6fO7,2022-12-18,15:00,4:3 pen.,2:0,0:2,2.7,3.15,2.91,1.0,True,Argentina,France,2.0,0.0,0.0,2.0,2.0,2.0
U7jo7z91,2022-12-17,15:00,2:1,2:1,0:0,2.3,3.55,3.12,0.0,True,Croatia,Morocco,2.0,1.0,0.0,0.0,2.0,1.0
M9g47WCj,2022-12-15,19:00,2:0,1:0,1:0,1.6,3.88,6.5,0.0,True,France,Morocco,1.0,0.0,1.0,0.0,2.0,0.0
QXChy9gE,2022-12-14,19:00,3:0,2:0,1:0,2.01,3.11,4.66,0.0,True,Argentina,Croatia,2.0,0.0,1.0,0.0,3.0,0.0
2g49AZK4,2022-12-11,19:00,1:2,0:1,1:1,2.9,3.1,2.73,2.0,True,England,France,0.0,1.0,1.0,1.0,1.0,2.0
hdEvqxcM,2022-12-10,15:00,1:0,1:0,0:0,6.33,3.83,1.61,0.0,True,Morocco,Portugal,1.0,0.0,0.0,0.0,1.0,0.0
G0rn6WE5,2022-12-10,19:00,2:3 pen.,0:1,2:1,3.67,3.09,2.26,1.0,True,Netherlands,Argentina,0.0,1.0,2.0,1.0,2.0,2.0
lGiFEPmp,2022-12-09,15:00,2:1 pen.,0:0,0:0,8.67,4.79,1.4,1.0,True,Croatia,Brazil,0.0,0.0,0.0,0.0,0.0,0.0
GpbM6Hem,2022-12-07,19:00,6:1,2:0,4:1,1.94,3.56,4.2,0.0,True,Portugal,Switzerland,2.0,0.0,4.0,1.0,6.0,1.0
4fxmve4a,2022-12-06,15:00,1:0 pen.,0:0,0:0,6.14,3.83,1.63,1.0,True,Morocco,Spain,0.0,0.0,0.0,0.0,0.0,0.0
A7cQ5yBg,2022-12-06,19:00,4:1,4:0,0:1,1.23,6.53,13.89,0.0,True,Brazil,South Korea,4.0,0.0,0.0,1.0,4.0,1.0
MVnruykg,2022-12-05,15:00,1:2 pen.,1:0,0:1,3.84,3.27,2.11,1.0,True,Japan,Croatia,1.0,0.0,0.0,1.0,1.0,1.0
bswGq3oQ,2022-12-05,19:00,3:0,2:0,1:0,1.61,3.74,6.65,0.0,True,England,Senegal,2.0,0.0,1.0,0.0,3.0,0.0
Cj8sxDv9,2022-12-04,15:00,3:1,1:0,2:1,1.39,4.95,9.03,0.0,True,France,Poland,1.0,0.0,2.0,1.0,3.0,1.0
Ya9wwgP2,2022-12-04,19:00,2:1,1:0,1:1,1.29,6.17,9.9,0.0,True,Argentina,Australia,1.0,0.0,1.0,1.0,2.0,1.0
ClJjw1Og,2022-12-03,15:00,3:1,2:0,1:1,1.91,3.4,4.58,0.0,True,Netherlands,USA,2.0,0.0,1.0,1.0,3.0,1.0
